name,url,contributors,created_at,license,readme
docs4gsc,https://github.com/furuhashilab/docs4gsc,mapconcierge,2017-07-13,NOASSERTION,"# 青山学院大学 地球社会共生学部 公開ドキュメント\n\n\n## パンフレット\n- [GSC学部パンフレット2015](https://github.com/gsc-aoyama/docs4gsc/blob/master/AoyamaGSC_Brochure2015.pdf)\n\n## 留学関連\n- [地球社会共生学部 学部間海外協定校派遣(留学)の継続、中止、途中帰国のガイドライン](https://github.com/gsc-aoyama/docs4gsc/blob/master/2016/study-abroad-guideline-01.md)\n\n- [フィールドスタディーガイド](https://github.com/gsc-aoyama/fieldstudy-guide4gsc)\n\n\n---\n\n\n## 青山学院大学地球社会共生学部オープンデータライセンス\n\n本リポジトリ内に格納されているコンテンツは、断りのない限りクリエイティブ・コモンズ・ライセンスのCC BY 4.0 を適用します。\nCopyright © School of Global Studies and Collaboration, Aoyama Gakuin University, CC BY 4.0\n\nFor more information, please see\n<https://creativecommons.org/licenses/by/4.0/deed.ja>\n"
README,https://github.com/furuhashilab/README,mapconcierge,2017-09-12,CC-BY-4.0,"# About the Furuhashi Lab.\nWe are the Furuhashi Laboratory at Aoyama Gakuin University,Japan. a.k.a. mapconcierge's Lab.\n\n---\n\n**>>> [アドグル希望の学生はこちら！](https://github.com/furuhashilab/advisergroup)**\n\n---\n\n古橋研究室（古橋ゼミ）に興味のある学生は、必ずこの文章と[行動規範](https://github.com/furuhashilab/README/tree/master?tab=coc-ov-file)、そして[Issues](https://github.com/furuhashilab/README/issues)を最初に読んでください。このREADMEと[Issuesに集約されている各詳細ルール](https://github.com/furuhashilab/README/issues)を理解していない学生は所属を認めません。 (<a href=""https://github.com/furuhashilab/README/commits/master/README.md/"">2025/03/11 Updated)</a>\n\n\n## 基本理念\n* **フィールドワーク重視**\n-- <a href=""#furuhashilabrules"">ゼミ</a>所属の学生は全員 **<a href=""#nebukuro"">寝袋</a>** / **<a href=""#tent"">ソロテント(1-2名用)</a>** を用意してもらいます。毎年複数回のフィールドワークがあります。（年間最低３回以上の参加が条件） \n\n* **アウトプット重視**\n-- "" **[Publish or Die](https://medium.com/furuhashilab/publish-or-die-8adb6fc8ad2b)** "": 積極的な発言、成果発表、提出物がすべて。<a href=""#tassei"">達成目標</a>をクリアできない学生は指導対象から外しますので注意してください。\n\n* **イベント運営経験重視**\n-- 自らイベントを企画し、運営し、多くの失敗とそのリカバリをすることは評価します。\n\n* **新しい技術は貪欲に！**\n-- [古橋研究室 AIとのつきあい方 ガイドライン](https://github.com/furuhashilab/README/issues/39) も参考に、失敗を恐れず新しい技術を貪欲に使っていきましょう。\n\n* **Open by Default**\n-- 持続可能で、次世代への継承性を重視した Open Data, Open Source, Open Standard, Open Access な世の中を共に作りましょう。\n\n\n<img src=""https://user-images.githubusercontent.com/416977/213129387-9abfc228-33e1-413b-928d-b93a4b3ab0bf.jpg"" width=""800"" />\nphoto by <a href=""https://www.facebook.com/photo.php?fbid=680570733662629&set=pb.100051291261557.-2207520000.&type=3"" >Tothapi</a>\n\n\n# 公式情報発信サイト\n* Facebook : https://www.facebook.com/furuhashilab/\n* Twitter : https://twitter.com/furuhashilab\n* Instagram : https://www.instagram.com/furuhashilab/\n* 公式WEB : http://furuhashilab.com/\n* 公式ブログ : https://medium.com/furuhashilab\n* 公式GitHub : https://github.com/furuhashilab\n* 公式YouTube : https://www.youtube.com/@furuhashilabs\n* YouTube再生リスト : https://youtube.com/playlist?list=PLtNZ0UPlDLE9zAW9Ghh-fQPJBIkxPxSRS&si=AePPDJrwM1_G5RNK\n\n---\n\n# 目的：\n**一億総伊能化社会における、よりしなやか(レジリエント)な社会システムを提案し、実践する。**\n\n```一億総伊能化社会：スマホのような端末の存在によって、誰もが当たり前に空間情報の恩恵を受け、それを利活用できる世の中```\n\n# <a name=""tassei"">達成目標：</a>\n## 2年次(所属決定後)\n* [研究室での活動に必要なITスキルの向上(Google各種ツール,GitHub,Slack,Facebook等)](https://github.com/furuhashilab/README/issues/18)\n* [ハッカソンや合宿の参加](https://www.facebook.com/groups/furuhashilabnow)\n* [留学中のフィールドワーク](https://github.com/furuhashilab/README/issues/36)\n\n## ３年次\n* 3年次前期からゼミ活動は開始。留学中の学生もオンラインで参加必須。\n* [古橋研究室Facebook非公開グループ](https://www.facebook.com/groups/furuhashilabnow/)で共有される情報を日々確認できるようになる。\n* [古橋研究室基本モバイルアプリ](https://github.com/furuhashilab/README/issues/12) はすべて使いこなせるようになる。\n* 現時点で実現されている社会システムを、空間情報の視点で把握できるようになる。\n* 把握した情報や知識を整理・可視化し、他者に伝えられるようになる(グラレコの初歩を実践できる)。\n* [自ら課題を設定し、ゼミ論としてその課題にチャレンジする(成否は問わない)](https://github.com/furuhashilab/README/issues/5)。\n* 古橋研究室[フィールドワークに毎年度3月末までに3回以上参加](https://github.com/furuhashilab/README/issues/3)が必須(3-4年の間にツリーハウス合宿を最低１回、夏合宿は原則全員参加)。\n* 参加したフィールドワークの報告を[オンライン上(公式ブログ on Medium)](https://github.com/furuhashilab/README/issues/13)で必ず行う。\n* 毎年数回開催される[国際会議・カンファレンスに3月末までに1回以上参加](https://github.com/furuhashilab/README/issues/21)が必須。\n* 早い段階でクライシスマッピングに参画できるよう、1/31迄にマッパーレベルを**中級者クラス**まで引き上げる。（現在の閾値 [INTERMEDIATE以上](http://learnosm.org/en/coordination/tm-whats-new-for-mappers/)。 ex.[古橋](https://tasks.hotosm.org/user/MAPconcierge) ）\n* フィールドワークを楽しめる素養を得るために **[INGRESS](https://ingress.com/)はLevel6以上(全員必修)** and **自由選択の位置情報ゲーム実績を１つ(**Pokémon GOはLevel30以上**、~~MinecraftEarth Lv.10以上~~、ドラクエWalk パーティ平均レベルLv40以上、Pikmin Bloom Lv.50以上、信長の野望出陣 Lv.30以上、モンスターハンターNow Lv.40以上、駅メモ Rank50以上、Jurassic World Alive Lv10以上、その他は要相談)** を獲得する。毎年 9/30 23:59:59 JST までに三年生の中間報告として目標レベルの2/3（INGRESS Lv5以上、PokemonGO Lv20以上等）到達しているかチェックする。到達していない場合は指導対象から外す。同様に毎年 1/31 23:59 JST までに三年生は達成目標をクリアし、プロフィールスクリーンショットを<a href=""https://www.facebook.com/groups/furuhashilabnow"">Facebook青学古橋研究室プライベートグループ</a>に必ず投稿すること。期日に間に合わなかった場合は指導対象から外す。特別な理由がある場合は別途相談とする。\n※ 2018-09-17 に目標レベルの値を学生たちと議論して修正しました。\n※ 2019-09-30 に目標レベル未到達の場合について対処法を学生たちと議論して修正しました。\n※ 2020-01-16 に進捗確認日を成績提出期間前に再設定。\n※ 2023-01-18 に目標レベルの値を修正しました。\n\n## ４年次\n* これからのしなやかな社会システムはどうあるべきか、仮説と提案ができるようになる。\n* 仮説・提案を確認するために自分で試験的に取り組んでみる。\n* [自ら課題を設定し、卒論/ゼミ論としてその課題にチャレンジする(成否は問わない)](https://github.com/furuhashilab/README/issues/5)。\n* 研究室の[フィールドワークに3月末](https://github.com/furuhashilab/README/issues/3)までに3回以上参加が必須。\n* 参加したフィールドワークの報告を[オンライン上(公式ブログ on Medium)](https://github.com/furuhashilab/README/issues/13)で必ず行う。\n* 毎年数回開催される[国際会議・カンファレンスに3月末までに1回以上参加](https://github.com/furuhashilab/README/issues/21)が必須。\n\n\n# 実施する内容：\n## 2年次(所属決定後)\n* 研究室での活動に必要なITスキルの向上。\n\n## ３年次\n* フィールド調査、情報の整理、外部有識者とのディスカッション、イベント運営\n* 空間情報の可視化、データビジュアライゼーション、情報共有\n* とくに情報の理解度向上/整理・構造化スキル向上/情報の可視化向上を目的に全員にグラフィックレコーディング技術を習得\n* 就職活動で役に立つポートフォリオ作成\n* [ゼミ論(ゼミ内サークル活動と合わせても良い)](https://github.com/furuhashilab/README/issues/5)\n* ゼミ内サークル活動\n* アドベントカレンダー(12月)\n* ゼミ論最終発表会(2月第1土曜日)\n\n## ４年次\n* 空間分析、仮説の組み立て\n* フィールドワーク、検証、情報発信\n* 毎週ブログでの卒論進捗報告をしてもらいます。\n* 関連するイベント・講演でのグラフィックレコーディング実践\n* [ゼミ論(卒論単位未申請者) or 卒論(卒論単位申請者)](https://github.com/furuhashilab/README/issues/5)\n* ゼミ内サークル活動\n* アドベントカレンダー(12月)\n* [ゼミ論](https://github.com/furuhashilab/README/issues/5)最終発表会(2月第1土曜日)\n\n【教科書・参考文献】\n* [ゼミの意思決定は原則ICS(インシデントコマンドシステム)に従って行います。各自しっかり目を通しておいてください。](https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%87%E3%83%B3%E3%83%88%E3%83%BB%E3%82%B3%E3%83%9E%E3%83%B3%E3%83%89%E3%83%BB%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0)\n* [各種古橋研究室ノウハウ](https://github.com/furuhashilab/README/issues)を目を通しておくこと。\n\n\n【応募条件・資格】\n* 世界銀行やアジア開発銀行、その他国際機関や、Google, Facebook(Meta), Mapboxなどのグローバル企業、フジテレビなど情報メディア関連企業、各国の赤十字社や国境なき医師団といった人道支援組織、他大学等との合同イベントなども授業と連携して行います。最低１回以上、これらのイベントに参加することを必須とします。\n* インターネット及びSNSを多用します。インターネットに接続できるノートPCとスマートフォンを所有していることが必須条件。\n* このREADMEを最後までしっかり目を通していること。\n\n\n【その他】\n* 本セミナーでは、次の３点を大事に考え、評価基準の軸とします。\n「**Diversity（多様性）**」「**Accessibility（利用しやすさ）**」「**Sustainability（継続性）**」\n* すべての授業でインターネットを用います。そのためには**ノートPCを所有していること**、**スマートフォンを所有していることを必須**とする。\n\n【募集人員】\n１０名\n\n\n【選考方法】\n* 志望動機\n* 面接(オンライン)\n\n---\n\n# 授業について\n \n## 1． 欠席、遅刻、途中退席について\n* 欠席・遅刻・途中退席の場合は **事前に [Instagramグループチャット](https://ig.me/j/AbYyCCedFVEZNgAP/) に欠席連絡** を入れ、オンラインにて参加することとする。\n \n## 2． 私語について\n* 原則禁止とする。\n* ディスカッション目的であれば問題はない。\n \n## 3． 飲み物、もしくは食事について\n* 食事は特別な理由がない限り禁止とする。\n* 飲み物はPC教室などリスクのある環境では特別な理由がない限り禁止とする。\n \n## 4． 帽子・パーカー等服装について\n* 服装は自由。\n \n## 5． <a name=""furuhashilabrules"">古橋ゼミ特有のルール</a>\n* ウェブ利用時の原則として**モダンウェブブラウザ**である Firefox, Chrome, Safari, Edge を前提とします。特にモダンウェブブラウザではない Microsoft Internet Explorer（以下IE） は使用禁止とします。もし IE を使用したことが原因で発生したトラブルについては一切対応しません。 \n* 文書等の提出は基本 [**Markdown記法**](http://www.openstreetmap.org/user/MAPconcierge/diary/38649) とします。ウェブブラウザで扱うことが出来、Permalinkとして機能する手法でのみ受け付けます。Microsoft Word Document File（以下 doc/docx ファイル）で提出した場合は受け取りません。\n* 文字コードは原則 **UTF-8** のみとします。ShiftJISやEUC等は特別な理由がない限り使用しないでください。\n* 特別な理由がない限り印刷目的のコンテンツに対して MSゴシック/MS明朝等のディスプレイ表示用フォント使用は禁止します。印刷用に最適化されたフォントを選んでください。\n\n## 6． そのほか、許されないこと\n* スマホ、タブレット、ノートPC等は使用可。わからないことは積極的にインターネットで検索すること。\n* イヤフォンの使用は特別な理由がない限り禁止とする。\n* 授業中に寝る行為は、他の学生に悪影響のない場合は無視します。但し、授業の課題提出が非効率になると共に、授業中に説明した事項についてはその後の質問に答えないので、各自でリスク管理をしてください。\n\n\n\n---\n\n# 古橋ゼミ標準装備2023\n## <a name=""notepc"">ノートPC</a>\n* Display: 解像度 WXGA+(1440×900)以上\n* CPU: Intel製 Core i5 相当以上（推奨） or Apple M1 相当以上（推奨）\n* Memory: 16GB 以上（推奨）\n* Storage: 128GB以上のSSD\n* Wi-Fi: IEEE802.11a/ac/n (5GHz帯)が利用できるもの\n* Display Output: HDMIが内蔵端子あるいはアダプタ経由で出力できること\n* OS: macOS 11(Big Sur)以降または Windows10 以降のいずれかが動作すること\n* Battely: 標準バッテリでの駆動時間が最低2時間以上\n\n## <a name=""smartphone"">スマートフォン</a>\n* OS: iOSもしくはAndroid\n* Geolocation: GPS/GNSS内蔵\n* [古橋研究室 標準アプリ[(https://github.com/furuhashilab/README/issues/12) をすべて使えるようにすること。\n\n* 最新 Mapillary アプリが実行可能であること\n## <a name=""mobilebattely"">モバイルバッテリー</a>\n* Spec: 自分のスマートフォンを12時間運用可能にする為に必要な容量。\n\n## <a name=""nebukuro"">寝袋</a>\n* 3シーズン用で十分。\n* 封筒型推奨、アウトドアにハマった人はマミー型。\n* 羽毛など贅沢なものは不要。バーゲンなどを狙えば 500円〜3,000円程度で入手可能。\n* 安価なヨガマットや[コット](https://workman.jp/shop/g/g2300063297026/)など寝心地を良くするグッズがあればなお良し。\n\n## <a name=""tent"">テント</a>\n* 1-2名用の小型テント。5,000円-1.5万円程度で十分。2名用を1人で独占するのが快適。\n\n* 推奨テント例 BASICドームテント 1人用 （キャノピー110cm）(WEB価格4,900円) https://workman.jp/shop/g/g2300066031023/\n<img src=""https://workman.jp/img/goods/L/66031_t1.jpg"" width=""200"">\n\n* 推奨テント例 Naturehikeテント2人用（グランドシート付）(Amazon価格16,900円) https://amzn.to/2G3Rgoe\n<img src=""https://m.media-amazon.com/images/I/51TDXVfIBGL._AC_SL1200_.jpg"" width=""200"">\n\n\n## ヘッドランプ\n* 小型軽量LEDタイプ（100円ショップなどで売っている数百円のものでも十分）\n* 可愛さ・デザイン重視で良い\n* 予算に余裕があれば [たねほうずき](https://amzn.to/3kqUQjk) もオススメ。\n\n---\n\n## 研究室志望動機の最後に記すべきキーワード\n私のGitHubアカウントはxxxxxです。 \n"
AGU_SIS2017_2,https://github.com/furuhashilab/AGU_SIS2017_2,wdolphin;mapconcierge;masukei;miwanogithub;shomamasuda;YurikoKojima;hanakonogithub;kiri-usui,2017-09-28,Unlicense,# AGU_SIS2017_2\n空間情報システム入門II 2017年度秋学期\n\n## 課題\n* 9/28(木) 次の課題を行って Issue に投稿提出してください。 https://github.com/furuhashilab/AGU_SIS2017_2/issues/1\n
aoyamavision2017,https://github.com/furuhashilab/aoyamavision2017,mapconcierge;AyameO;yuuuuka,2017-10-18,Unlicense,"<img width=""800"" alt=""plan2"" src=""https://user-images.githubusercontent.com/416977/35314260-52756c88-0108-11e8-89ed-07ffad1a0a95.png"">\n\n# AOYAMA VISION CrisisMapping\nhttp://crisismapping.aoyamavision.com/\n\n\n# 活動報告書\n* [2018年](https://github.com/furuhashilab/aoyamavision2017/blob/master/pressrelease/DRONEBIRD%20annual-report_2018-03-06-ahigh.pdf)\n* [2019年](https://github.com/furuhashilab/aoyamavision2017/blob/master/pressrelease/report_20200401.pdf)\n\n\n\n![sotm2017aizuwakamatsu_groupphoto](https://user-images.githubusercontent.com/416977/37636640-92bfd90e-2c46-11e8-9e39-11e069e4db8f.jpg)\nPhoto: State of the Map 2017 Aizuwakamatsu Group Photo\n"
geogeowest,https://github.com/furuhashilab/geogeowest,mapconcierge,2017-10-30,Unlicense,
mapping4facebookeditor,https://github.com/furuhashilab/mapping4facebookeditor,mapconcierge,2017-11-29,NOASSERTION,
howtomakegeojson,https://github.com/furuhashilab/howtomakegeojson,mapconcierge,2017-11-30,NOASSERTION,
howtocollaboratewithPokemonoGOxOSM,https://github.com/furuhashilab/howtocollaboratewithPokemonoGOxOSM,mapconcierge,2017-12-06,NOASSERTION,
jyubako4dronemapping,https://github.com/furuhashilab/jyubako4dronemapping,mapconcierge,2017-12-14,NOASSERTION,# jyubako4dronemapping\n[SnowPeak 住箱](https://www.snowpeak.co.jp/sp/jyubako/) を活用した新しいドローン・マッピング・その他新しい自然空間デザインのための拠点提案\n\n![visual01](https://user-images.githubusercontent.com/416977/33970283-8f288dcc-e0b5-11e7-88d6-dcbc993e2250.jpg)\n\n\n* Design Document\n![designdocument4jyubako](https://user-images.githubusercontent.com/416977/70671634-09af3f80-1cc0-11ea-86c6-b358bfc8dbb8.jpg)\n
shortgeocode,https://github.com/furuhashilab/shortgeocode,mapconcierge,2017-12-14,NOASSERTION,# shortgeocode\n位置短縮コードまとめ\n
